MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
1220321013,L1808,L180800,Diabetes mellitus arising in pregnancy,11687002,1220321013,32
20191016,L1809,L180900,Gestational diabetes mellitus,11687002,20191016,32
801901000006119,L1808-1,L180811,Gestational diabetes mellitus,11687002,20191016,32
2686071000006110,^ESCTGE268607,,Gestational diabetes,11687002,1220319015,32
2686081000006110,^ESCTMA268608,,Maternal gestational diabetes mellitus,11687002,1220320014,32
2686101000006120,^ESCTGD268610,,GDM - Gestational diabetes mellitus,11687002,1220322018,32
3258001000006120,^ESCTGE325800,,"Gestational diabetes mellitus, class A>2<",46894009,78158011,32
3719631000006110,^ESCTGE371963,,"Gestational diabetes mellitus, class A>1<",75022004,124602011,32
8016601000006110,^ESCTPO801660,,Postpartum gestational diabetes mellitus,40791000119105,3005715016,32
8016611000006110,^ESCTGE801661,,"Gestational diabetes, delivered",40791000119105,3005798015,32
8016621000006120,^ESCTGE801662,,Gestational diabetes mellitus complicating pregnancy,40801000119106,3301670017,32
8264221000006120,^ESCTMA826422,,Management of gestational diabetes mellitus,816261000000105,2127141000000110,31
15071651000006100,^ESCT1507165,,Gestational diabetes mellitus class A2,46894009,5159111018,32
15072391000006100,^ESCT1507239,,Gestational diabetes mellitus class A1,75022004,5159109010,32
616151000006118,L1800,L180000,Diabetes mellitus - unspec whether in pregnancy/puerperium,199223000,306106018,32
887971000006115,L180-99,L180.99,Preg.+ diabetes mellitus,199223000,887971000006115,32
2686061000006119,^ESCTGD268606,,GDM,11687002,20193018,32
2686071000006114,^ESCTGE268607,,Gestational diabetes,11687002,1220319015,32
2686081000006112,^ESCTMA268608,,Maternal gestational diabetes mellitus,11687002,1220320014,32
2686101000006116,^ESCTGD268610,,GDM - Gestational diabetes mellitus,11687002,1220322018,32
3258001000006116,^ESCTGE325800,,"Gestational diabetes mellitus, class A>2<",46894009,78158011,32
3258011000006118,^ESCTGD325801,,"GDM, class A>2<",46894009,78159015,32
3719631000006112,^ESCTGE371963,,"Gestational diabetes mellitus, class A>1<",75022004,124602011,32
3719641000006119,^ESCTGD371964,,"GDM, class A>1<",75022004,124603018,32
8016601000006114,^ESCTPO801660,,Postpartum gestational diabetes mellitus,40791000119105,3005715016,32
8016611000006112,^ESCTGE801661,,"Gestational diabetes, delivered",40791000119105,3005798015,32
8016621000006116,^ESCTGE801662,,Gestational diabetes mellitus complicating pregnancy,40801000119106,3301670017,32
8016631000006118,^ESCTGE801663,,Gestational DM antepartum,40801000119106,3289671017,32
8264221000006117,^ESCTMA826422,,Management of gestational diabetes mellitus,816261000000105,2127141000000115,31
