MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
398342013,L124,L124.00,Pre-eclampsia,398254007,1777802017,32
703011000006115,L124-1,L124.11,Mild pre-eclampsia,41114007,68583017,32
305788019,L1240,L124000,Mild or unspecified pre-eclampsia unspecified,398254007,1777802017,32
305789010,L1241,L124100,Mild or unspecified pre-eclampsia - delivered,198974007,305789010,32
702961000006110,L1242,L124200,Mild or unspecified pre-eclampsia - delivered with p/n comp,398254007,1777802017,32
305791019,L1243,L124300,Mild or unspecified pre-eclampsia - not delivered,398254007,1777802017,32
703001000006118,L1244,L124400,Mild or unspecified pre-eclampsia with p/n complication,398254007,1777802017,32
68583017,L1245,L124500,Mild pre-eclampsia,41114007,68583017,32
1226072015,L1246,L124600,Preeclampsia,398254007,2921085014,32
305795011,L124z,L124z00,Mild or unspecified pre-eclampsia NOS,398254007,1777802017,32
77942011,L125,L125.00,Severe pre-eclampsia,46764007,77942011,32
305800018,L1250,L125000,Severe pre-eclampsia unspecified,46764007,77942011,32
305801019,L1251,L125100,Severe pre-eclampsia - delivered,198983002,305801019,32
305802014,L1252,L125200,Severe pre-eclampsia - delivered with postnatal complication,198984008,305802014,32
305803016,L1253,L125300,Severe pre-eclampsia - not delivered,198985009,305803016,32
305804010,L1254,L125400,Severe pre-eclampsia with postnatal complication,198986005,305804010,32
305805011,L125z,L125z00,Severe pre-eclampsia NOS,46764007,77942011,32
305818015,L127,L127.00,Pre-eclampsia or eclampsia with pre-existing hypertension,198997005,305818015,32
213011000006113,L1270,L127000,Pre-eclampsia or eclampsia with hypertension unspecified,198997005,305818015,32
212991000006114,L1271,L127100,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered,198999008,305820017,32
212981000006111,L1272,L127200,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication,199000005,305821018,32
213001000006110,L1273,L127300,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered,199002002,305823015,32
212971000006113,L1274,L127400,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication,199003007,305824014,32
212961000006118,L127z,L127z00,Pre-eclampsia or eclampsia + pre-existing hypertension NOS,198997005,305818015,32
355625017,L129,L129.00,Moderate pre-eclampsia,237281009,355625017,32
887841000006118,L124z-99,L124z99,Pre-eclampsia NOS,648001000000103,887841000006118,32
991571000006114,L124-99,L124.99,Pre-eclampsia NOS,41114007,991571000006114,32
494622019,L12B,L12B.00,Proteinuric hypertension of pregnancy,398254007,1786188019,32
3255831000006110,^ESCTSE325583,,Severe proteinuric hypertension of pregnancy,46764007,1494752012,32
3162241000006116,^ESCTMI316224,,Mild proteinuric hypertension of pregnancy,41114007,1229720018,32
5105201000006119,^ESCTMO510520,,Moderate proteinuric hypertension of pregnancy,237281009,355624018,32
494622019,L12B,L12B.00,Proteinuric hypertension of pregnancy,398254007,1786188019,32
6600711000006116,^ESCTEP660071,,"EPH - Edema, proteinuria and hypertension of pregnancy",398254007,1784021012,32
6600681000006117,^ESCTEP660068,,"EPH - Oedema, proteinuria and hypertension of pregnancy",398254007,1783632018,32
26988014,L126,L126.00,Eclampsia,15938005,26988014,32
305809017,L1262,L126200,Eclampsia - delivered with postnatal complication,198991006,305809017,32
305810010,L1265,L126500,Eclampsia in pregnancy,198992004,305810010,32
355628015,L1266,L126600,Eclampsia in labour,237283007,355628015,32
305817013,L126z,L126z00,Eclampsia NOS,15938005,26988014,32
305807015,L1260,L126000,Eclampsia unspecified,15938005,26988014,32
305808013,L1261,L126100,Eclampsia - delivered,198990007,305808013,32
305811014,L1263,L126300,Eclampsia - not delivered,198992004,305811014,32
305813012,L1264,L126400,Eclampsia with postnatal complication,198993009,305813012,32
355622019,L124-2,L124.12,Toxaemia of pregnancy,15394000,477346015,32
402165017,Q000-1,Q000.11,Fetus affected by maternal toxaemia,268794002,402165017,32
403581000006112,Lyu1,Lyu1.00,"[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",198609003,305277014,32
819741000006116,L12A,L12A.00,"HELLP - Syndrome of haemolysis, elevated liver enzymes and low platelet",95605009,1217317016,32
2744251000006116,^ESCTTO274425,,Toxaemia of pregnancy,15394000,2744251000006116,32
2752911000006119,^ESCTTO275291,,Toxemia with convulsions,15938005,26989018,32
2752921000006110,^ESCTEC275292,,Eclamptic toxemia,15938005,26990010,32
2752931000006113,^ESCTEC275293,,Eclamptic toxaemia,15938005,477585011,32
2752941000006115,^ESCTTO275294,,Toxaemia with convulsions,15938005,477586012,32
3162201000006118,^ESCTMI316220,,Mild pre-eclamptic toxemia,41114007,68584011,32
3162211000006115,^ESCTMI316221,,Mild pre-eclamptic toxaemia,41114007,492886015,32
3162221000006111,^ESCTPE316222,,PET - Mild pre-eclamptic toxaemia,41114007,1216605016,32
3162231000006114,^ESCTPE316223,,PET - Mild pre-eclamptic toxemia,41114007,1218096015,32
3255801000006119,^ESCTSE325580,,Severe pre-eclamptic toxaemia,46764007,494613015,32
3255811000006116,^ESCTPE325581,,PET - Severe pre-eclamptic toxaemia,46764007,1216651015,32
3255821000006112,^ESCTPE325582,,PET - Severe pre-eclamptic toxemia,46764007,1218141012,32
4059561000006110,^ESCTHA405956,,Haemolysis-elevated liver enzymes-low platelet count syndrome,95605009,1217316013,32
4059571000006115,^ESCTHE405957,,HELLP syndrome,95605009,158365013,32
4059591000006119,^ESCTHE405959,,"HELLP - Syndrome of hemolysis, elevated liver enzymes and low platelet",95605009,1218802013,32
4059601000006110,^ESCTHE405960,,Hemolysis-elevated liver enzymes-low platelet count syndrome,95605009,1218803015,32
4795121000006118,^ESCTAN479512,,Antepartum eclampsia,198992004,305812019,32
5105241000006117,^ESCTIN510524,,Intrapartum eclampsia,237283007,355627013,32
5105251000006115,^ESCTEC510525,,Eclampsia in labor,237283007,355629011,32
5105261000006118,^ESCTEC510526,,Eclampsia in childbirth,237283007,3004465017,32
6600691000006119,^ESCTPR660069,,Pre-eclamptic toxaemia,398254007,1783633011,32
6600701000006119,^ESCTPE660070,,PET - Pre-eclamptic toxaemia,398254007,1783634017,32
6600721000006112,^ESCTPE660072,,PET - Pre-eclamptic toxemia,398254007,1784022017,32
6600731000006110,^ESCTPR660073,,Pre-eclamptic toxemia,398254007,1784023010,32
6600741000006117,^ESCTPE660074,,PE - Pre-eclampsia,398254007,1786187012,32
11903241000006116,^ESCT1190324,,Toxemia of pregnancy,15394000,26109017,32
12717231000006110,^ESCT1271723,,Mild or unspecified pre-eclampsia - delivered,198974007,305789010,32
12729391000006117,^ESCT1272939,,Mild or unspecified pre-eclampsia NOS,648001000000103,1425551000000117,31
3255791000006115,^ESCTSE325579,,Severe pre-eclamptic toxemia,46764007,77945013,32
7510851000006119,^ESCTPR751085,,Pregnancy induced hypertension with pulmonary oedema,698638005,2974860016,31
7510861000006117,^ESCTPR751086,,Pregnancy induced hypertension with pulmonary edema,698638005,2974990012,31
