MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
208371000006112,Q432,Q432.00,Preterm delivery-associated jaundice,73749009,1233650016,32
316884011,Qyu11,Qyu1100,[X]Other preterm infants,44247006,73791010,16
758321000000116,635C,635C.00,Preterm infant status,384321000000100,758321000000116,16
758341000000111,635C-1,635C.11,Preterm,384321000000100,758341000000111,16
214421000006111,635-3,635..13,Preterm infant,44247006,73792015,16
316117014,Q11z,Q11z.00,Prematurity of fetus,44247006,73791010,16
499688015,L14-1,L14..11,Premature labour,6383007,499688015,32
420192012,L142-1,L142.11,Premature delivery,282020008,420192012,32
501721000006111,6353,6353,Baby premature 28-32 weeks,710235005,3044183016,16
454124010,635B,635B.00,Baby premature 36 weeks,310530008,454124010,16
454123016,635A,635A.00,Baby premature 37 weeks,310529003,454123016,16
501561000006113,Q11-1,Q11..11,Baby born premature,44247006,73792015,16
316106013,Q111,Q111.00,Premature - weight 1000g-2499g or gestation of 28-37weeks,206169007,316106013,32
501881000006117,6352,6352,Baby premature 32-36 weeks,710068006,3042996015,16
402204013,Q110,Q110.00,Very premature - less than 1000g or less than 28 weeks,268817004,402204013,32
305880015,L140,L140.00,Threatened premature labour,199047001,305880015,32
263477019,6351,6351,Baby premature 36-38 weeks,169849006,263477019,16
454144016,6356,6356,Baby premature 26-28 weeks,310548004,454144016,16
660311000006119,Q112-1,Q112.11,Extreme prematurity - less than 28 weeks,268817004,402204013,32
454273012,Q116,Q116.00,Premature infant 28-37 weeks,310661005,454273012,32
454122014,6359,6359,Baby premature 38 weeks,310528006,454122014,16
454121019,6358,6358,Baby premature 39 weeks,310527001,454121019,16
454114019,6357,6357,Baby premature 24-26 weeks,310523002,454114019,16
305903017,L1421,L142100,Early onset of delivery - delivered,282020008,420192012,32
412909019,Q112,Q112.00,Extreme immaturity,276658003,412909019,32
1816761000006110,L1431,L143100,Premature labour with premature delivery,282020008,420192012,32
1816741000006110,L143,L143.00,Premature labour and delivery,282020008,420192012,32
