MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
359964011,Q4z-5,Q4z..15,Stillbirth NEC,237364002,355748018,32
453240013,Q48D1,Q48D100,Macerated stillbirth,237366000,355750014,32
359181000006117,Q48D,Q48D.00,Stillbirth,237364002,355748018,32
1227644019,ZV27-2,ZV27.12,[V]Stillbirth,237364002,355748018,32
460572014,ZV32,ZV32.00,"[V]Twin, mate stillborn",452451000000109,905081000000110,32
460530013,ZV271,ZV27100,[V]Single stillbirth,169827000,263436018,16
316262017,Q210,Q210.00,Fetal death due to prelabour anoxia,206258000,316262017,32
453239011,Q48D0,Q48D000,Fresh stillbirth,237365001,355749014,32
83831000006118,6334,6334,Twins - 1 still + 1 live born,169829002,263438017,16
263436018,6332,6332,Single stillbirth,169827000,263436018,16
83851000006113,6335,6335,Twins - both still born,169830007,263439013,16
460533010,ZV274,ZV27400,Twins - both stillborn,169830007,263439013,16
558681000006119,7F1A2,7F1A200,Cleidotomy of fetus to facilitate delivery,62726004,104243011,32
306711012,L2641,L264100,Intrauterine death - delivered,199607009,306711012,32
460532017,ZV273,ZV27300,"[V]Twins, one live born and one stillborn",169829002,263438017,16
418953018,633-2,633..12,Stillbirth [prevention record],281051003,418953018,16
316263010,Q211,Q211.00,Fetal death due to labour anoxia,206259008,316263010,32
712771000006119,942,942..00,Medical cert. of still-birth,270101008,404973011,37
88131000006116,6337,6337,Triplets -2 live+ 1 still born,169832004,263441014,16
460573016,ZV320,ZV32000,"[V]Twin, born in hospital, mate stillborn",442327001,2820291012,32
88111000006110,6339,6339,Triplets - 3 still born,169834003,263443012,16
343271000006111,ZV361,ZV36100,"[V]Other multiple birth, before hospital, mates live+still",281050002,418952011,16
460536019,ZV277,ZV27700,"[V]Other multiple birth, all stillborn",237364002,355748018,32
349671000006110,ZV32z,ZV32z00,"[V]Twin, mate stillborn NOS",452531000000101,1023121000000110,32
615591000006110,L399,L399.00,Destructive operation for delivery,200154000,307612016,32
460606015,ZV36z,ZV36z00,"[V]Other multiple birth, mates live and stillborn NOS",281050002,418952011,16
88141000006114,6338,6338,Triplets-1 live+ 2 still born,169833009,263442019,16
461397019,ZVu2B,ZVu2B00,"[X]Other multiple births, some liveborn",45384004,75660013,32
2365201000000120,633B,633B.00,Antepartum stillbirth,713202001,3288395017,16
2477192015,ESCTST6-1,,Indeterminate stillbirth,408796008,2477192015,16
2794110017,ESCTST6,,Stillbirth - unknown if foetal death intrapartum or prior to labour,408796008,2794110017,16
1898141000006110,EMISNQAN55,,Antepartum stillbirth,1898141000006110,1898141000006110,16
1898151000006110,EMISNQIN193,,Intrapartum stillbirth,1898151000006100,1898151000006110,16
2365241000000120,633C,633C.00,Intrapartum stillbirth,921611000000101,2365241000000120,16
2966381000006110,^ESCTST296638,,Stillbirth of premature female (1000-2499 gms.),28996007,48546014,31
3766101000006120,^ESCTST376610,,Stillbirth of premature male (1000-2499 gms.),77814006,129138017,31
5106241000006110,^ESCTSB510624,,SB - Stillbirth,237364002,355747011,32
5310751000006110,^ESCTNU531075,,Number of stillbirths,252112002,375480016,31
7976751000006110,^ESCTFO797675,,Form 6 - certificate of stillbirth,3561000000102,1156851000000110,37
343401000006116,ZV352,ZV35200,"[V]Other multiple birth, not hospitalised, mates stillborn",281050002,418952011,16
343471000006110,ZV351,ZV35100,"[V]Other multiple birth,born before hospital,mates stillborn",281050002,418952011,16
349691000006111,ZV322,ZV32200,"[V]Twin, born outside hospital and not hospitalised, mate stillborn",445585003,2872821015,32
3386841000006110,^ESCTPR338684,,Premature birth of stillborn twins,54650005,90819012,31
