MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
8262291000006110,Pregnancy resulting from assisted conception,^ESCTPR826229,,813541000000100,2121191000000116,,31
8221571000006112,Assisted conception,^ESCTAS822157,,720451000000102,1574891000000118,,31
3495761000006115,Ovulation induction,^ESCTOV349576,,61285001,101828016,,31
3495781000006113,Induction of ovulation,^ESCTIN349578,,61285001,1232200013,,31
393634019,Intrauterine artificial insemination,7E0A2,7E0A200,265064001,393634019,,32
5483231000006113,Intrauterine insemination,^ESCTIN548323,,265064001,393635018,,32
5483241000006115,IUI - Intrauterine insemination,^ESCTIU548324,,265064001,393636017,,32
1551181000006119,Intrauterine insemination without superovulation using donor sperm,7E0A6,7E0A600,426250000,2676236011,,32
7056101000006117,Intrauterine insemination using donor sperm,^ESCTIN705610,,426250000,2676238012,,32
7058321000006111,Intrauterine insemination without controlled ovarian hyperstimulation using partner sperm,^ESCTIN705832,,426389008,2676235010,,32
7067061000006113,Intrauterine insemination with controlled ovarian hyperstimulation using partner sperm,^ESCTIN706706,,426968007,2676230017,,32
7056121000006110,Intrauterine insemination without controlled ovarian hyperstimulation using donor sperm,^ESCTIN705612,,426250000,2676237019,,32
1551161000006112,Intrauterine insemination with superovulation using donor sperm,7E0A4,7E0A400,425644009,2676231018,,32
1551151000006110,Intrauterine insemination with superovulation using partner sperm,7E0A3,7E0A300,426968007,2676229010,,32
7058301000006118,Intrauterine insemination using partner sperm,^ESCTIN705830,,426389008,2676234014,,32
7047391000006110,Intrauterine insemination with controlled ovarian hyperstimulation using donor sperm,^ESCTIN704739,,425644009,2676232013,,32
1551171000006117,Intrauterine insemination without superovulation using partner sperm,7E0A5,7E0A500,426389008,2676233015,,32
3450791000006112,AI - Artificial insemination,^ESCTAI345079,,58533008,1231841010,,32
1227637011,[V]AI - artificial insemination,ZV261-1,ZV26111,427961000000100,910601000000119,,32
12456691000006111,[V]Artificial insemination from husband,^ESCT1245669,,451871000000106,906601000000119,,31
3794931000006118,Insemination,^ESCTIN379493,,79621004,132095013,,31
4938211000006114,Intravaginal artificial insemination,^ESCTIN493821,,225250007,338495010,,31
4938151000006119,DIPI - Direct intraperitoneal insemination,^ESCTDI493815,,225247009,338489014,,31
5120091000006118,IPI - Intraperitoneal insemination,^ESCTIP512009,,238312005,357212015,,31
4938141000006116,Direct intraperitoneal insemination,^ESCTDI493814,,225247009,338488018,,31
460521017,Artificial insemination by donor,ZV266,ZV26600,236896006,355064018,,32
5120081000006116,Intraperitoneal insemination,^ESCTIN512008,,238312005,357213013,,31
4938191000006113,Subzonal insemination,^ESCTSU493819,,225249007,338493015,,31
3247201000006112,Artificial insemination, heterologous,^ESCTAR324720,,46249006,77124017,,31
4938201000006111,SUZI - Subzonal insemination,^ESCTSU493820,,225249007,338494014,,31
12456641000006119,[V]AI - artificial insemination,^ESCT1245664,,427961000000100,12456641000006119,,32
5100211000006112,Artificial insemination by husband,^ESCTAR510021,,236895005,5100211000006112,,32
3583151000006113,Artificial insemination, homologous,^ESCTAR358315,,66601000,110647018,,31
5100491000006115,FREDI - Fallopian replacement of egg with delayed insemination,^ESCTFR510049,,236913003,355091016,,31
460516015,[V]Artificial insemination NOS,ZV261,ZV26100,427961000000100,910601000000119,,32
8047111000006113,Artificial insemination done,^ESCTAR804711,,150801000119104,2990681018,,32
5100241000006111,DI - Donor insemination,^ESCTDI510024,,236896006,355062019,,32
491771000006118,Artficial insemination NEC,7E0A2-1,7E0A211,58533008,97259019,,32
97259019,Artificial insemination,8C81,8C81.00,58533008,97259019,,32
5100481000006118,Fallopian replacement of egg with delayed insemination,^ESCTFA510048,,236913003,355090015,,31
5100251000006113,AID - Artificial insemination by donor,^ESCTAI510025,,236896006,355063012,,32
3450781000006114,Assisted insemination,^ESCTAS345078,,58533008,97262016,,32
12456701000006111,[V]Artificial insemination NOS,^ESCT1245670,,427961000000100,910611000000117,,32
5100221000006116,AIH - Artificial insemination by husband,^ESCTAI510022,,236895005,355061014,,32
273805016,Intracervical artificial insemination,7E0A1,7E0A100,176844003,273805016,,32
3430051000006115,Artificial insemination with sperm washing and capacitation,^ESCTAR343005,,57233006,95194015,,31
460520016,Artificial insemination by husband,ZV265,ZV26500,236895005,355060010,,32
3353401000006113,In vitro fertilization,^ESCTIN335340,,52637005,87600016,,32
3353431000006117,In vitro fertilization procedure,^ESCTIN335343,,52637005,1218204019,,32
7051121000006119,IVF - In vitro fertilization with intracytoplasmic sperm injection (ICSI),^ESCTIV705112,,425901007,2674414013,,32
7066181000006117,In vitro fertilization using donor and egg intra-cytoplasmic sperm injection,^ESCTIN706618,,426914002,2674406019,,32
7058801000006113,IVF - In vitro fertilization with pre-implantation genetic diagnosis,^ESCTIV705880,,426417003,2674392010,,32
11928431000006110,In vitro fertilization using donor eggs,^ESCT1192843,,425866000,2674411017,,32
7051161000006113,In vitro fertilization with intracytoplasmic sperm injection,^ESCTIN705116,,425901007,2674418011,,32
7077251000006114,In vitro fertilization using donor sperm,^ESCTIN707725,,427664000,2674410016,,32
7280601000006114,Conceived by in vitro fertilization,^ESCTCO728060,,443633009,2838708018,,31
7051151000006111,In vitro fertilization with intra-cytoplasmic sperm injection,^ESCTIN705115,,425901007,2674417018,,32
7077231000006119,IVF - In vitro fertilization using donor sperm,^ESCTIV707723,,427664000,2674408018,,32
7066171000006115,In vitro fertilization using donor egg and intracytoplasmic sperm injection,^ESCTIN706617,,426914002,2674405015,,32
7058821000006115,In vitro fertilization with preimplantation genetic diagnosis,^ESCTIN705882,,426417003,2674394011,,32
7066141000006111,IVF - In vitro fertilization with intracytoplasmic sperm injection (ICSI) and donor egg,^ESCTIV706614,,426914002,2674402017,,32
3353391000006111,Test tube ovum fertilization,^ESCTTE335339,,52637005,87599019,,32
3353411000006111,Test tube ovum fertilisation,^ESCTTE335341,,52637005,496388010,,32
1216714019,In vitro fertilisation procedure,8C84,8C84.00,52637005,1216714019,,32
7077241000006112,In vitro fertilisation using donor sperm,^ESCTIN707724,,427664000,2674409014,,32
12458591000006113,[V]In vitro fertilisation,^ESCT1245859,,440691000000100,906641000000116,,32
1556431000006119,IVF - In vitro fertilisation using donor sperm,7M0h0,7M0h000,427664000,2674407011,,32
1556451000006114,IVF - In vitro fertilisation with intracytoplasmic sperm injection (ICSI),7M0h2,7M0h200,425901007,2674413019,,32
1556471000006116,IVF - In vitro fertilisation with pre-implantation genetic diagnosis,7M0h4,7M0h400,426417003,2674391015,,32
1589501000006110,In vitro fertilisation using donor eggs,7M0h1-1,7M0h111,425866000,2674412012,,32
7066161000006110,In vitro fertilisation using donor egg and intracytoplasmic sperm injection,^ESCTIN706616,,426914002,2674404016,,32
373461000000114,Other specified in vitro fertilisation (IVF),7M0hy,7M0hy00,52637005,496387017,,32
7280591000006118,Conceived by in vitro fertilisation,^ESCTCO728059,,443633009,2838707011,,31
1556421000006117,In vitro fertilisation,7M0h,7M0h.00,52637005,496387017,,32
1556441000006112,In vitro fertilisation using donor eggs,7M0h1,7M0h100,425866000,2674412012,,32
7066151000006113,In vitro fertilisation using donor and egg intra-cytoplasmic sperm injection,^ESCTIN706615,,426914002,2674403010,,32
1589491000006119,In vitro fertilisation with donor sperm,7M0h0-1,7M0h011,427664000,2674407011,,32
1556461000006111,IVF - In vitro fertilisation with intracytoplasmic sperm injection (ICSI) and donor egg,7M0h3,7M0h300,426914002,2674401012,,32
460523019,[V]In vitro fertilisation,ZV267,ZV26700,440691000000100,1008751000000119,,32
1589511000006113,In vitro fertilisation with intra-cytoplasmic sperm injection,7M0h2-1,7M0h211,425901007,2674415014,,32
7051141000006114,In vitro fertilisation with intracytoplasmic sperm injection,^ESCTIN705114,,425901007,2674416010,,32
7058811000006111,In vitro fertilisation with preimplantation genetic diagnosis,^ESCTIN705881,,426417003,2674393017,,32
373481000000117,In vitro fertilisation (IVF) NOS,7M0hz,7M0hz00,52637005,496387017,,32
855511000006115,In vitro fertilisation,EGTON81,,855511000006104,855511000006115,,32
