MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
458816012,246m,246m.00,Average diastolic blood pressure,314453003,458816012,2
458823013,246a,246a.00,Average night interval diastolic blood pressure,314460009,458823013,2
458824019,246X,246X.00,Average day interval diastolic blood pressure,314461008,458824019,2
458825018,246V,246V.00,Average 24 hour diastolic blood pressure,314462001,458825018,2
2533636015,246c,246c.00,Average home diastolic blood pressure,413605002,2533636015,2
298311000000112,246f,246f.00,Ambulatory diastolic blood pressure,198091000000104,298311000000112,2
8057991000006115,^ESCTAM805799,,Ambulatory diastolic BP (blood pressure),198091000000104,1677381000000111,2
1780183016,246P,246P.00,Standing diastolic blood pressure,400975005,1780183016,2
2159156012,246R,246R.00,Sitting diastolic blood pressure,407555005,2159156012,2
2159158013,246T,246T.00,Lying diastolic blood pressure,407557002,2159158013,2
619931000006119,246A,246A.00,Diastolic arterial pressure,1091811000000102,2734671000000117,2
1808021000006115,EMISNQDI86,,Diastolic blood pressure - left arm,1808021000006104,1808021000006115,2
1808051000006112,EMISNQDI87,,Diastolic blood pressure - right arm,1808051000006108,1808051000006112,2
1993951000006110,EMISNQHO138,,Home diastolic blood pressure,1993951000006106,1993951000006110,2
2418921000000115,246n0,246n000,Baseline diastolic blood pressure,716632005,3306936015,2
4660711000006111,^ESCTNO466071,,Non-invasive diastolic arterial pressure,174255007,269956016,2
5295081000006115,^ESCTIN529508,,Invasive diastolic arterial pressure,251073000,374208016,31
5527211000006110,^ESCTDI552721,,Diastolic blood pressure,271650006,406508013,2
5527231000006116,^ESCTDB552723,,DBP - Diastolic blood pressure,271650006,1225213015,2
5527241000006114,^ESCTDI552724,,Diastolic arterial pressure,271650006,2620223019,2
6046321000006114,^ESCT24604632,,24 hour diastolic blood pressure,314465004,458828016,2
14536471000006113,^ESCT1453647,,Self reported diastolic blood pressure,1162735000,4591102014,2
7321231000006110,^ESCTDI732123,,Diastolic blood pressure on admission,446226005,2883277012,31
