MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
458803012,246l,246l.00,Average systolic blood pressure,314440001,458803012,2
458808015,246b,246b.00,Average night interval systolic blood pressure,314445006,458808015,2
458809011,246Y,246Y.00,Average day interval systolic blood pressure,314446007,458809011,2
458812014,246W,246W.00,Average 24 hour systolic blood pressure,314449000,458812014,2
1780182014,246N,246N.00,Standing systolic blood pressure,400974009,1780182014,2
2159155011,246Q,246Q.00,Sitting systolic blood pressure,407554009,2159155011,2
2159157015,246S,246S.00,Lying systolic blood pressure,407556006,2159157015,2
2533615017,246d,246d.00,Average home systolic blood pressure,413606001,2533615017,2
114311000006111,2469,2469.00,Systolic arterial pressure,72313002,120159016,2
298281000000114,246e,246e.00,Ambulatory systolic blood pressure,198081000000101,298281000000114,2
1808011000006111,EMISNQSY8,,Systolic blood pressure - left arm,1808011000006107,1808011000006111,2
1808041000006110,EMISNQSY9,,Systolic blood pressure - right arm,1808041000006106,1808041000006110,2
1994021000006115,EMISNQHO139,,Home systolic blood pressure,1994021000006104,1994021000006115,2
2418961000000111,246n1,246n100,Baseline systolic blood pressure,716579001,3306694016,2
3676271000006117,^ESCTSY367627,,Systolic blood pressure,72313002,120163011,2
5295021000006119,^ESCTNO529502,,Non-invasive systolic arterial pressure,251070002,374205018,2
5295051000006111,^ESCTIN529505,,Invasive systolic arterial pressure,251071003,374206017,31
5527191000006114,^ESCTSY552719,,Systolic blood pressure,271649006,406507015,2
6046311000006118,^ESCT24604631,,24 hour systolic blood pressure,314464000,458827014,2
6620591000006114,^ESCTSY662059,,Systolic blood pressure on admission,399304008,1778756019,2
8057971000006116,^ESCTAM805797,,Ambulatory systolic BP (blood pressure),198081000000101,1677251000000113,2
14536491000006114,^ESCT1453649,,Self reported systolic blood pressure,1162737008,4591106012,2
6456711000006111,^ESCTSB645671,,SBP - Systemic blood pressure,386536003,1491594011,31
