MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
77727018,C10E-2,C10E.12,Insulin dependent diabetes mellitus,73211009,121589010,,32
197984010,C10E,C10E.00,Type 1 diabetes mellitus,46635009,197984010,,32
292538019,C10E5-1,C10E511,Type I diabetes mellitus with ulcer,190368000,292538019,,32
292540012,C10E5,C10E500,Type 1 diabetes mellitus with ulcer,190368000,292540012,,32
292541011,C10E6,C10E600,Type 1 diabetes mellitus with gangrene,420825003,2618207019,,32
292543014,C10E6-1,C10E611,Type I diabetes mellitus with gangrene,420825003,2618207019,,32
292548017,C10E8,C10E800,Type 1 diabetes mellitus - poor control,444073006,2872487013,,32
292550013,C10E8-1,C10E811,Type I diabetes mellitus - poor control,444073006,2872487013,,32
292551012,C10E9-1,C10E911,Type I diabetes mellitus maturity onset,190372001,292551012,,32
292553010,C10E9,C10E900,Type 1 diabetes mellitus maturity onset,190372001,292553010,,32
429970018,C10E4-1,C10E411,Unstable type I diabetes mellitus,290002008,429970018,,32
429971019,C10E4,C10E400,Unstable type 1 diabetes mellitus,290002008,429971019,,32
429972014,C10E4-2,C10E412,Unstable insulin dependent diabetes mellitus,11530004,19931010,,27
457325013,C10EA-1,C10EA11,Type I diabetes mellitus without complication,313435000,457325013,,32
457326014,C10EA,C10EA00,Type 1 diabetes mellitus without complication,313435000,457326014,,32
459161015,C10EE,C10EE00,Type 1 diabetes mellitus with hypoglycaemic coma,314771006,459161015,,32
459162010,C10EE-2,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemic coma,237632004,356141011,,32
459163017,C10EE-1,C10EE11,Type I diabetes mellitus with hypoglycaemic coma,314771006,459163017,,32
459292011,C10EH,C10EH00,Type 1 diabetes mellitus with arthropathy,314893005,459292011,,32
459293018,C10EH-2,C10EH12,Insulin dependent diabetes mellitus with arthropathy,39710007,1229552016,,32
459294012,C10EH-1,C10EH11,Type I diabetes mellitus with arthropathy,314893005,459294012,,32
459296014,C10EJ,C10EJ00,Type 1 diabetes mellitus with neuropathic arthropathy,71771000119100,3010513018,,32
494564012,C10E-1,C10E.11,Type I diabetes mellitus,46635009,494564012,,32
1780311019,C10EL,C10EL00,Type 1 diabetes mellitus with persistent microalbuminuria,401110002,1780311019,,32
2476117016,C10C-2,C10C.12,Maturity onset diabetes in youth type 1,609562003,2967867012,,32
72651000006114,C1084,C108400,Unstable insulin dependent diabetes mellitus,11530004,19931010,,27
72711000006117,C1084-2,C108412,Unstable type 1 diabetes mellitus,290002008,429971019,,32
72721000006113,C1084-1,C108411,Unstable type I diabetes mellitus,290002008,429970018,,32
84281000006115,C108-2,C108.12,Type 1 diabetes mellitus,46635009,197984010,,32
84291000006117,C1088-2,C108812,Type 1 diabetes mellitus - poor control,444073006,2872487013,,32
84301000006116,C1089-2,C108912,Type 1 diabetes mellitus maturity onset,190372001,292553010,,32
84311000006118,C108H-2,C108H12,Type 1 diabetes mellitus with arthropathy,314893005,459292011,,32
84321000006114,C108F-2,C108F12,Type 1 diabetes mellitus with diabetic cataract,421920002,2618234016,,32
84331000006112,C1086-2,C108612,Type 1 diabetes mellitus with gangrene,420825003,2618207019,,32
