MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
253627011,226,226..00,O/E - ethnic group,162730000,253627011,27
253628018,226-1,226..11,O/E - ethnic origin,162730000,253628018,27
253635014,226Z,226Z.00,O/E - ethnic group NOS,162730000,253627011,27
285958018,9SA,9SA..00,Other ethnic non-mixed (NMO),186005001,285958018,22
285959014,9SA1,9SA1.00,Brit. ethnic minor. spec.(NMO),186006000,285959014,22
285960016,9SA2,9SA2.00,Brit. ethnic minor. unsp (NMO),186007009,285960016,22
285988010,9SAD,9SAD.00,Other ethnic NEC (NMO),186005001,285958018,22
285989019,9SB,9SB..00,"Other ethnic, mixed origin",186019001,285989019,22
285990011,9SB1,9SB1.00,"Other ethnic, Black/White orig",186020007,285990011,22
285991010,9SB2,9SB2.00,"Other ethnic, Asian/White orig",186021006,285991010,22
285992015,9SB3,9SB3.00,"Other ethnic, mixed white orig",186022004,285992015,22
285993013,9SB4,9SB4.00,"Other ethnic, other mixed orig",186023009,285993013,22
286003011,9SZ,9SZ..00,Ethnic groups (census) NOS,397731000,1777341010,22
286005016,9T,9T...00,Ethnicity and other related nationality data,186034007,286005016,22
286006015,9T1,9T1..00,New Zealand ethnic groups,186035008,286006015,22
286017019,9T1A,9T1A.00,Other Pacific ethnic group,372148003,1210724015,22
286020010,9T1E,9T1E.00,Asian - ethnic group,315280000,459783012,22
286021014,9T1Y,9T1Y.00,Other New Zealand ethnic group,186035008,286006015,22
286022019,9T1Z,9T1Z.00,New Zealand ethnic group NOS,186035008,286006015,22
456651012,9SD,9SD..00,Refusal by patient to provide information about ethnic group,763726001,3643639011,22
456652017,9SE,9SE..00,Ethnic group not recorded,312861003,456652017,22
459728018,9S12,9S12.00,White - ethnic group,185984009,285926011,22
459729014,ESCTMI5,,Mixed ethnic census group,315239007,459729014,22
459730016,ESCTBL5,,Black - ethnic group,315240009,459730016,22
459782019,9SG,9SG..00,Other black ethnic group,315279003,459782019,22
459784018,9SH,9SH..00,Other Asian ethnic group,315281001,459784018,22
