MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
2773644011,12520,1252000,Family history of diabetes mellitus type 1,430678008,2773644011,7
1227610014,ZV180-1,ZV18011,[V]Family history of diabetes mellitus (DM),160303001,249794016,7
7511031000006112,^ESCTFA751103,,Family history of diabetes mellitus with complication,698650004,2975442018,31
339351000006110,ZV180,ZV18000,Family history: Diabetes mellitus,160303001,2666212011,7
1751441000006116,12521-1,1252111,Family history of diabetes mellitus type II,430679000,2773645012,7
6898471000006112,^ESCTFA689847,,Family history: Diabetes mellitus in first degree relative,416855002,2621891010,7
2773645012,12521,1252100,Family history of diabetes mellitus type 2,430679000,2773645012,7
460375010,ZV198,ZV19800,[V]Family history of diabetes mellitus,160303001,2666212011,7
2549389017,1253,1253.00,FH: Diabetes mellitus in first degree relative,416855002,2549389017,7
249794016,1252,1252.00,FH: Diabetes mellitus,160303001,249794016,7
958011000006114,EMISNQFH1,,FH: Diabetes mellitus in first degree relative,958011000006105,958011000006114,7
958061000006112,EMISNQFH6,,FH: Diabetes mellitus mother,958061000006108,958061000006112,7
958041000006113,EMISNQFH4,,FH: Diabetes mellitus brother,958041000006109,958041000006113,7
958021000006118,EMISNQFH2,,FH: Diabetes mellitus child,958021000006102,958021000006118,7
958031000006115,EMISNQFH3,,FH: Diabetes mellitus sister,958031000006104,958031000006115,7
958051000006110,EMISNQFH5,,FH: Diabetes mellitus father,958051000006106,958051000006110,7
371002011,13LZ-1,13LZ.11,Diabetic relative,105452009,169519017,7
418920011,13L4-1,13L4.11,History of diabetes mellitus in child of subject,444094009,2840938016,7
