MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
405633013,44TK,44TK.00,Fasting blood glucose level,997681000000108,2572691000000111,34
5519911000006117,^ESCTFA551991,,Fasting blood glucose,271062006,1225173016,31
5519901000006115,^ESCTFB551990,,FBG - Fasting blood glucose,271062006,1225172014,31
5519921000006113,^ESCTFB551992,,FBS - Fasting blood sugar,271062006,1225174010,31
5519891000006119,^ESCTFA551989,,Fasting blood glucose level,271062006,405633013,34
667181000006113,44T2,44T2.00,Fasting blood sugar,997681000000108,2572691000000111,34
5519881000006117,^ESCTFA551988,,Fasting blood glucose measurement,271062006,405634019,31
4602111000006112,^ESCTPL460211,,Plasma fasting glucose measurement,167096006,259599017,31
4602121000006116,^ESCTPL460212,,Plasma fasting glucose level,167096006,259598013,31
259598013,44g1,44g1.00,Plasma fasting glucose level,1003141000000105,2560571000000116,34
4602051000006114,^ESCTSE460205,,Serum fasting glucose measurement,167087006,259586015,31
3347901000006114,^ESCTGL334790,,"Glucose measurement, fasting",52302001,87034016,31
259587012,44f1,44f1.00,Serum fasting glucose level,1003131000000101,2564071000000115,34
4602061000006111,^ESCTSE460206,,Serum fasting glucose level,167087006,259587012,31
