MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
3199171000006112,0,^ESCTHE319917,,Hemoglobin A1c measurement,43396009,72394011,31
3199191000006113,0,^ESCTHB319919,,HbA1c - Hemoglobin A1c level,43396009,493590018,31
4595391000006115,0,^ESCTHE459539,,Hemoglobin A1c greater than 10% indicating poor diabetic control,165681007,2767755018,11
7297331000006113,0,^ESCTHE729733,,Hemoglobin A1c above reference range,444751005,2870874018,31
6036721000006114,0,^ESCTHE603672,,Hemoglobin A1c measurement aligned to the Diabetes Control and Complications Trial,313835008,2914282016,31
7285151000006113,0,^ESCTHB728515,,HBA1c (Hemoglobin A1c) level,443911005,2840604014,31
7297341000006115,0,^ESCTHI729734,,High hemoglobin A1c level,444751005,2870876016,31
6280411000006114,0,^ESCTHE628041,,Hemoglobin A1C - diabetic control finding,365845005,489331011,11
4595331000006119,0,^ESCTHE459533,,Hemoglobin A1c between 7%-10% indicating borderline diabetic control,165680008,2768431010,11
4595291000006114,0,^ESCTHE459529,,Hemoglobin A1c (HbA1c) less than 7% indicating good diabetic control,165679005,2772122013,11
7568561000006116,0,^ESCTES756856,,Estimated from glycated hemoglobin technique,702945004,3009977017,31
7960901000006115,0,^ESCTGL796090,,Glycated hemoglobin-A1c,733830002,3474734016,31
7960871000006115,0,^ESCTGL796087,,Glycated hemoglobin,733829007,3474722012,31
7568551000006118,0,^ESCTES756855,,Estimated from glycated hemoglobin,702945004,3006514014,31
7960911000006117,0,^ESCTHB796091,,HbA1c - Glycated hemoglobin-A1c,733830002,3474736019,31
6759271000006111,0,^ESCTTO675927,,Total glycosylated haemoglobin measurement,408254005,2161416016,31
6759251000006118,0,^ESCTTO675925,,Total glycosylated haemoglobin level,408254005,2154205011,31
5417451000006114,0,^ESCTGL541745,,Glycosylated haemoglobin,259689004,386737013,32
2154205011,0,44TL,44TL.00,Total glycosylated haemoglobin level,1013511000000100,2574561000000110,34
4087761000006118,0,^ESCTGL408776,,Glycosylated haemoglobin F,103229005,260905015,31
3199181000006110,0,^ESCTHB319918,,HbA1c - Haemoglobin A1c level,43396009,493589010,31
4595301000006110,0,^ESCTHA459530,,Haemoglobin A1c (HbA1c) less than 7% indicating good diabetic control,165679005,2773783018,11
6036701000006116,0,^ESCTHB603670,,HbA1c measurement (DCCT aligned),313835008,457955014,31
12622041000006111,0,^ESCT1262204,,HbA1c (haemoglobin A1c) molar concentration in blood,1107481000000106,2773291000000116,31
1986191000006114,0,42W51,,HbA1c (haemoglobin A1c) level (monitoring ranges) - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised,1049321000000109,2643141000000112,11
4595381000006118,0,^ESCTHA459538,,Haemoglobin A1c (HbA1c) greater than 10% indicating poor diabetic control,165681007,2767753013,11
457954013,0,42W4,42W4.00,HbA1c level (Diabetes Control and Complications Trial aligned),1019431000000105,2566161000000115,11
