MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
253669010,229,229..00,Standing height,248333004,370729019,2
253676017,229Z,229Z.00,O/E - height NOS,248333004,370729019,2
923831000006115,PCNQOE1,,O/E - height,923831000006104,923831000006115,42
1910921000006114,EMISNQES11,,Estimated height,1910921000006105,1910921000006114,2
1910931000006112,EMISNQRE470,,Reported height,1910931000006108,1910931000006112,2
2374191000000113,64h,64h..00,Predicted adult height,925951000000105,2374191000000113,27
2729021000006118,^ESCTME272902,,Measuring height of patient,14456009,24574015,31
3315711000006110,^ESCTBO331571,,Body height measure,50373000,495662010,27
3315721000006119,^ESCTBO331572,,Body height,50373000,83914018,27
4551671000006115,^ESCTON455167,,On examination - height,162755006,2666494014,27
5526601000006112,^ESCTHE552660,,Height / growth measure,271603002,406454019,31
11905141000006112,^ESCT1190514,,O/E - height,162755006,253669010,27
14413201000006113,^ESCT1441320,,Self reported body height,1047021000000101,1617941000000111,2
14452941000006118,^ESCT1445294,,Body height,1153637007,4565433019,31
14532981000006117,^ESCT1453298,,Self reported body height,1162419008,4589277013,2
