MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
12496011,F4213,F421300,Hypertensive retinopathy,6962006,12496011,,32
60444016,G211,G211.00,Benign hypertensive heart disease,36221001,60444016,,32
64282015,G22,G22..00,Hypertensive renal disease,38481006,64282015,,32
80224019,G203,G203.00,Diastolic hypertension,48146000,80224019,,32
84111015,G672,G672.00,Hypertensive encephalopathy,50490005,84111015,,32
93494011,G202,G202.00,Systolic hypertension,56218007,93494011,,32
107545013,G21,G21..00,Hypertensive heart disease,64715009,107545013,,32
253532015,212K,212K.00,Hypertension resolved,162659009,253532015,,27
299673010,G233,G233.00,Hypertensive heart and renal disease with renal failure,194780003,299673010,,32
451424017,8B26,8B26.00,Antihypertensive therapy,308116003,451424017,,32
1780318013,662b,662b.00,Moderate hypertension control,401117004,1780318013,,1
350601000000116,7Q01,7Q01.00,High cost hypertension drugs,220901000000101,350601000000116,,32
54939014,G22-1,G22..11,Nephrosclerosis,38481006,64282015,,32
299686018,G2y,G2y..00,Other specified hypertensive disease,38341003,1215744012,,32
300870016,Gyu20,Gyu2000,[X]Other secondary hypertension,31992008,53452019,,32
19441000006114,L122z,L122z00,Other pre-existing hypertension in preg/childb/puerp NOS,86041002,142647015,,32
19451000006111,L1220,L122000,Other pre-existing hypertension in preg/childb/puerp unspec,86041002,142647015,,32
39871000006113,L1222,L122200,Oth pre-exist hypert in preg/childb/puerp -del with p/n comp,86041002,142647015,,32
212961000006118,L127z,L127z00,Pre-eclampsia or eclampsia + pre-existing hypertension NOS,198997005,305818015,,32
504811000006110,L1200,L120000,Benign essential hypertension in preg/childb/puerp unspec,86041002,142647015,,32
741661000006118,G21z,G21z.00,Hypertensive heart disease NOS,64715009,107545013,,32
741681000006111,G21z1,G21z100,Hypertensive heart disease NOS with CCF,64715009,107545013,,32
741691000006114,G21z0,G21z000,Hypertensive heart disease NOS without CCF,64715009,107545013,,32
300869017,Gyu2,Gyu2.00,[X]Hypertensive diseases,38341003,1215744012,,32
504911000006115,G2110,G211000,Benign hypertensive heart disease without CCF,77970009,129404019,,32
299665018,G222,G222.00,Hypertensive renal disease with renal failure,49220004,81984019,,32
299650019,G210z,G210z00,Malignant hypertensive heart disease NOS,54225002,90135019,,32
12487991000006113,^ESCT1248799,,Hypertensive treatm.changed,170587004,264486018,,1
3552531000006110,^ESCTHH355253,,HHD - Hypertensive heart disease,64715009,499930018,,32
3119661000006114,^ESCTHY311966,,Hypertensive nephropathy,38481006,64285018,,32
3117411000006118,^ESCTHI311741,,High blood pressure,38341003,64172013,,32
3117511000006117,^ESCTHT311751,,HTN - Hypertension,38341003,2164904016,,32
3784371000006115,^ESCTAC378437,,Accelerated essential hypertension,78975002,503982017,,32
3117521000006113,^ESCTHY311752,,"Hypertensive disorder, systemic arterial",38341003,2671386015,,32
3117451000006117,^ESCTBP311745,,BP - High blood pressure,38341003,490277011,,32
3117501000006115,^ESCTBP311750,,BP+ - Hypertension,38341003,490283014,,32
3117481000006113,^ESCTHT311748,,HT - Hypertension,38341003,490281011,,32
4775791000006113,^ESCTMA477579,,Malignant secondary renovascular hypertension,194783001,2470030014,,32
3117491000006111,^ESCTHI311749,,High blood pressure disorder,38341003,490282016,,32
4061031000006118,^ESCTAR406103,,Arteriosclerotic retinopathy,95691008,158518015,,32
351341000000118,7Q01z,7Q01z00,High cost hypertension drugs NOS,220901000000101,350591000000110,,32
299683014,G24z0,G24z000,Renovascular hypertension,123799005,192288012,,32
299687010,G2z,G2z..00,Hypertensive disorder,38341003,1215744012,,32
213081000006118,L1282,L128200,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium",199008003,305829016,,32
213091000006115,L1280,L128000,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",199006004,305827019,,32
728671000006119,G2101,G210100,Malignant hypertensive heart disease with congestive cardiac failure,83105008,1236017010,,32
728681000006116,G2100,G210000,Malignant hypertensive heart disease without congestive heart failure,36315003,60617018,,32
789941000006117,G234,G234.00,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,194781004,299674016,,32
264485019,662F,662F.00,Treatment for hypertension started,170586008,2694699015,,1
264486018,662G,662G.00,Hypertensive treatment changed,170587004,2871342011,,1
351361000000117,7Q01y,7Q01y00,Other specified high cost hypertension drugs,220901000000101,350591000000110,,32
4634851000006119,^ESCTTR463485,,Treatment for hypertension started,170586008,4634851000006119,,1
3296351000006114,^ESCTHY329635,,Hypertensive renal failure,49220004,81984019,,32
3117461000006115,^ESCTSY311746,,Systemic arterial hypertension,38341003,490278018,,32
3552501000006119,^ESCTHY355250,,Hypertensive cardiopathy,64715009,107547017,,32
