MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
89449014,K26y3,K26y300,Infertility due to radiation,53821008,89449014,32
252121017,1597-1,1597.11,H/O: female infertility,161798008,252121017,27
263130015,6242,6242.00,A/N care: H/O infertility,169589005,263130015,16
282947017,8C82,8C82.00,Female infertility therapy,183036001,282947017,32
305106014,K5B10,K5B1000,Primary pituitary - hypothalamic infertility,198449003,305106014,32
305109019,K5B20,K5B2000,Primary tubal infertility,198452006,305109019,32
305110012,K5B21,K5B2100,Secondary tubal infertility,198453001,305110012,32
305123017,K5B51,K5B5100,Secondary vaginal infertility,198465002,305123017,32
396795017,K5B0,K5B0.00,Female infertility of anovulatory origin,266609001,396795017,32
1483150015,8Cf,8Cf..00,Infertility care,389094009,1483150015,32
2536834014,K5B6,K5B6.00,Female infertility associated with male factors,414187003,2536834014,32
305104012,K5B0z,K5B0z00,Female infertility of anovulatory origin NOS,237139007,355455017,32
305112016,K5B2z,K5B2z00,Female infertility of tubal origin NOS,39446004,66155016,32
305126013,K5By,K5By.00,Other female infertility,6738008,12167015,32
305263011,Kyu9G,Kyu9G00,[X]Female infertility of other origin,6738008,12167015,32
3372671000006113,^ESCTIN337267,,Infertility caused by radiation,53821008,3293354015,32
5103791000006117,^ESCTFE510379,,Female infertility due to ovulatory disorder,237139007,355455017,32
3358411000006117,^ESCTIN335841,,Infertility due to infection,52937008,88078010,32
4544241000006113,^ESCTHI454424,,History of - infertility - female,161798008,2667006017,27
3134711000006113,^ESCTIN313471,,Infertility of tubal origin,39446004,2920437010,32
2996921000006112,^ESCTIN299692,,Infertility of vaginal origin,30826006,3012625018,32
12167015,K5B-99,K5B..99,Female infertility,6738008,887561000006116,32
887211000006116,K5-98,K5...98,Female infertility + GUT NOS,601841000000106,887211000006116,32
3843601000006110,^ESCTFE384360,,Female infertility due to congenital anomaly of fallopian tube,82593008,137013011,31
7535811000006116,^ESCTDE753581,,Deafness infertility syndrome,700489002,2990745014,31
3449261000006119,^ESCTIN344926,,Infertility due to systemic disease,58423003,97082013,31
5098951000006114,^ESCTIN509895,,Infertility associated with antisperm antibodies,236816007,354941012,31
7059801000006116,^ESCTIN705980,,Infertility due to oligoovulation,426488001,3012590011,31
3707781000006114,^ESCTFE370778,,Female infertility due to structural congenital anomaly of cervix,74294009,123385012,31
5112581000006116,^ESCTEN511258,,Endocrine female infertility,237800001,356371010,31
2580671000006113,^ESCTPR258067,,Primary female infertility,5084002,9511018,31
3878981000006115,^ESCTFE387898,,Female infertility due to acquired stenosis of fallopian tube,84785006,140567014,31
7082041000006114,^ESCTAG708204,,Age related female infertility,428008002,3012554016,31
305127016,K5By0,K5By000,Primary infertility,297106006,437558010,32
305128014,K5By1,K5By100,Secondary female infertility,30238006,50614010,32
86791000006115,8C8,8C8..00,Infertility therapy,65046005,108109017,32
779131000006119,K5B,K5B..00,Female infertility,6738008,12167015,32
6854651000006119,^ESCTFE685465,,Female infertility due to antisperm antibody,414238007,2532868017,31
7692661000006112,^ESCTFE769266,,Female infertility due to endometriosis,712584009,3083132012,31
7082031000006116,^ESCTFE708203,,Female infertility due to advanced maternal age,428008002,2692001011,31
2835051000006113,^ESCTIN283505,,Infertility due to germinal cell aplasia,21071002,35416014,31
5493681000006112,^ESCTAN549368,,Anovulatory infertility,266609001,396796016,32
3557831000006111,^ESCTIN355783,,Infertility treatment,65046005,1232640011,32
305133013,K5Bz,K5Bz.00,Female infertility NOS,6738008,12167015,32
396798015,K5Byz,K5Byz00,Other female infertility NOS,6738008,12167015,32
305114015,K5B31,K5B3100,Secondary uterine infertility,198457000,305114015,32
252120016,1597,1597.00,H/O: infertility - female,161798008,252120016,27
66155016,K5B2,K5B2.00,Female infertility of tubal origin,39446004,66155016,32
460513011,ZV26,ZV26.00,Infertility care management,408966007,2470803017,32
304465011,K26yz,K26yz00,Infertility due to extratesticular cause NOS,8619003,15222012,27
460458015,ZV230,ZV23000,[V]Pregnancy with history of infertility,169589005,263130015,16
3005411000006117,^ESCTIN300541,,Infertility due to germinal cell desquamation,31356004,52427013,31
5721351000006114,^ESCTFE572135,,Female infertility - cervical/vaginal,286995008,426498011,31
7059791000006117,^ESCTFE705979,,Female infertility due to oligo-ovulation,426488001,2676018015,31
3564361000006114,^ESCTFE356436,,Female infertility associated with congenital anomaly of uterus,65454003,108749019,31
12717121000006119,^ESCT1271712,,Infertility due to infective cause:[male] or [female],198013006,304459011,32
12461931000006116,^ESCT1246193,,[V]Unspecified infertility management,427641000000106,906681000000112,32
4624741000006113,^ESCTAN462474,,Antenatal care: history of infertility,169589005,2666439018,16
2549421000006110,^ESCTIN254942,,Infertility of cervical origin,3160009,3012628016,32
305115019,K5B3z,K5B3z00,Female infertility of uterine origin NOS,26899006,45005010,32
1803701000006118,EMISNQFE11,,Female infertility due to diminished ovarian reserve,427547007,1803701000006118,32
1749411000006119,EMISNQIN75,,Infertility care,1749411000006103,1749411000006119,32
2674253018,K5B7,K5B7.00,Female infertility due to diminished ovarian reserve,427547007,2674253018,32
305116018,K5B40,K5B4000,Primary cervical infertility,198459002,305116018,32
6341018,K5B4,K5B4.00,Female infertility of cervical origin,3160009,6341018,32
51600018,K5B5,K5B5.00,Female infertility of vaginal origin,30826006,51600018,32
11998661000006110,^ESCT1199866,,History of infertility due to endometriosis,763016003,3637559018,31
3883821000006111,^ESCTFE388382,,Female infertility due to occlusion of fallopian tube,85078005,141047016,31
4969811000006111,^ESCTFE496981,,Female infertility associated with anovulation,227561004,341510012,31
12458661000006116,^ESCT1245866,,[V]Infertility management,441181000000100,929931000000116,31
11912321000006111,^ESCT1191232,,[V]Pregnancy with history of infertility,439801000000103,969361000000117,31
7762511000006118,^ESCTSU776251,,Supervision of pregnancy with history of infertility,717794008,3310270013,31
11998671000006115,^ESCT1199867,,History of female infertility due to tubal factor,763017007,3637560011,31
