MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
136515019,137H,137H.00,Pipe smoker,82302008,136515019,17
216212011,137V,137V.00,Smoking reduced,134406006,216212011,17
342574011,137n,137n.00,Total time smoked,228487000,342574011,17
344794017,137Y,137Y.00,Cigar consumption,230057008,344794017,17
344795016,137a,137a.00,Pipe tobacco consumption,230058003,344795016,17
1780360012,137f,137f.00,Reason for restarting smoking,401159003,1780360012,17
1780396011,137g,137g.00,Cigarette pack-years,401201003,1780396011,17
2669652019,137Q,137Q.00,Smoking started,266929003,2669652019,17
137791000006118,137Q-1,137Q.11,Smoking restarted,308438006,2670126018,17
12482301000006115,^ESCT1248230,,Admitted tobacco cons untrue ?,160613002,250369017,17
2927031000006116,^ESCTCI292703,,Cigar smoking tobacco,26663004,44643018,31
7507191000006117,^ESCTWA750719,,Water pipe smoker,698289004,2973829011,31
8299271000006119,^ESCTNU829927,,Number of previous attempts to stop smoking,864091000000103,2234141000000111,31
3422221000006116,^ESCTHE342222,,Heavy smoker (over 20 per day),56771006,94417014,31
5003181000006112,^ESCTVE500318,,Very heavy cigarette smoker,230064005,344803011,17
5003191000006110,^ESCTCH500319,,Chain smoker,230065006,344804017,31
67621000006112,1376,1376.00,Very heavy cigarette smoker (40+ cigs/day),160606002,250362014,17
700121000006118,1374,1374.00,Moderate cigarette smoker (10-19 cigs/day),160604004,250359011,17
2670126018,137e,137e.00,Smoking restarted,308438006,2670126018,17
250387019,137Z,137Z.00,Tobacco consumption NOS,266918002,397730015,17
1592611000000110,137m,137m.00,Failed attempt to stop smoking,446172000,2882460017,17
108938018,137P,137P.00,Cigarette smoker,65568007,108938018,17
1488576014,137c,137c.00,Thinking about stopping smoking,394871007,1488576014,17
4980581000006110,^ESCTAG498058,,Age at starting smoking,228488005,342575012,31
5003161000006119,^ESCTMO500316,,Moderate cigarette smoker,230062009,344801013,17
250369017,137D,137D.00,Admitted tobacco consumption possibly untrue,160613002,2791864017,17
1809131000006111,EMISNQTO12,,Total time smoked,228487000,1809131000006111,17
503483019,137R,137R.00,Current smoker,77176002,503483019,17
5003151000006116,^ESCTLI500315,,Light cigarette smoker,230060001,344798019,17
819331000006110,1375,1375.00,Heavy cigarette smoker (20-39 cigs/day),160605003,250360018,17
3419101000006116,^ESCTMO341910,,Moderate smoker (20 or less per day),56578002,94089011,31
1488577017,137b,137b.00,Ready to stop smoking,394872000,1488577017,17
250372012,137G,137G.00,Trying to give up smoking,160616005,250372012,17
8063181000006116,^ESCTWA806318,,Wants to stop smoking,203191000000107,310341000000119,17
743331000006116,1373,1373.00,Light cigarette smoker (1-9 cigs/day),160603005,250358015,17
2737011000000111,^ESCT1172093,,Number of calculated smoking pack years,1092481000000104,2737011000000111,31
7375991000006118,^ESCTSM737599,,Smokes tobacco daily,449868002,2912728015,31
1488578010,137d,137d.00,Not interested in stopping smoking,394873005,1488578010,17
99639019,137J,137J.00,Cigar smoker,59978006,99639019,17
128130017,137P-1,137P.11,Smoker,77176002,128130017,17
250368013,137C,137C.00,Keeps trying to stop smoking,160612007,250368013,17
7507181000006115,^ESCTHO750718,,Hookah pipe smoker,698289004,2973819016,31
3582451000006114,^ESCTCI358245,,Cigarette smoking tobacco,66562002,110585013,31
4533531000006119,^ESCTAD453353,,Admitted tobacco consumption possibly untrue,160613002,4533531000006119,17
2170961000000116,137o,137o.00,Waterpipe tobacco consumption,836001000000109,2170961000000116,17
2474719011,137h,137h.00,Minutes from waking to first tobacco consumption,413173009,2474719011,17
250375014,137M,137M.00,Rolls own cigarettes,160619003,250375014,17
344793011,137X,137X.00,Cigarette consumption,230056004,344793011,17
3874641000006110,^ESCTPI387464,,Pipe smoking tobacco,84498003,140113010,31
5003171000006114,^ESCTHE500317,,Heavy cigarette smoker,230063004,344802018,17
137721000006115,137-1,137..11,Smoker - amount smoked,266918002,397730015,17
397733018,1372-1,1372.11,Occasional smoker,428041000124106,2717161000000119,17
504769011,137W,137W.00,Chews tobacco,81703003,504769011,17
