MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
216205019,G801C,G801C00,Deep vein thrombosis of leg related to air travel,134399007,216205019,32
307740016,L4131,L413100,Antenatal deep vein thrombosis - delivered,200232006,307740016,32
2534187010,G801E,G801E00,Deep vein thrombosis of leg related to intravenous drug use,413956008,2534187010,32
1786921000006116,EMISNQRE297,,Recurrent deep vein thrombosis,1786921000006100,1786921000006116,32
3414351000006118,^ESCTPO341435,,Postpartum deep vein thrombosis,56272000,93578019,32
8361011000006114,^ESCTUN836101,,Unprovoked DVT (deep vein thrombosis),978421000000101,2518391000000114,32
4403261000006113,^ESCTDV440326,,DVT - Deep vein thrombosis,128053003,2162148012,32
307739018,L4130,L413000,Antenatal deep vein thrombosis unspecified,49956009,83207014,32
307742012,L413z,L413z00,Antenatal deep vein thrombosis NOS,49956009,83207014,32
12107671000006115,^ESCT1210767,,Chronic deep vein thrombosis of left iliac vein,293461000119100,3646306012,31
7654481000006118,^ESCTCH765448,,Chronic deep vein thrombosis of pelvic vein,709687000,3041096016,31
12125841000006111,^ESCT1212584,,Acute deep vein thrombosis of right lower limb following procedure,15711241000119106,3646317013,31
7966351000006118,^ESCTAC796635,,Acute deep vein thrombosis of lower limb,651000119108,2967724010,31
5059321000006119,^ESCTIL505932,,Ileofemoral deep vein thrombosis,234044007,350671010,31
216571000006116,SP122,SP12200,Postoperative deep vein thrombosis,213220000,325066018,32
7291411000006115,^ESCTDE729141,,Deep vein thrombosis of bilateral lower extremities,444325005,2841044011,31
12125801000006114,^ESCT1212580,,Acute deep vein thrombosis of left upper limb following procedure,15708401000119100,3646312019,31
12107661000006110,^ESCT1210766,,Chronic deep vein thrombosis of right iliac vein,293451000119102,3646268013,31
2730151000006115,^ESCTDE273015,,Deep vein thrombosis of splenic vein,14534009,476397019,31
6694751000006113,^ESCTDV669475,,DVT - Deep vein thrombosis of lower limb,404223003,2162419014,32
218551000000118,G801-2,G801.12,"Deep vein thrombosis, leg",266267005,395801015,32
5059301000006112,^ESCTIL505930,,Iliofemoral deep vein thrombosis,234044007,3464381018,31
2162148012,G801-3,G801.13,Deep vein thrombosis,128053003,2162149016,32
211691000006114,L4141,L414100,Postnatal deep vein thrombosis - delivered with postnatal complication,200237000,307748011,32
12107681000006117,^ESCT1210768,,Acute deep vein thrombosis of right iliac vein,293481000119109,3646321018,31
12125791000006113,^ESCT1212579,,Acute deep vein thrombosis of right upper limb following procedure,15708201000119101,3646318015,31
7665071000006116,^ESCTRE766507,,Recurrent DVT (deep vein thrombosis),710167004,2496081000000115,32
8361031000006115,^ESCTPR836103,,Provoked DVT (deep vein thrombosis),978441000000108,2518461000000111,32
307747018,L4140,L414000,Postnatal deep vein thrombosis unspecified,56272000,93577012,32
307750015,L414z,L414z00,Postnatal deep vein thrombosis NOS,56272000,93577012,32
1776621000006117,EMISNQRE220,,Reason for referral: Deep Vein Thrombosis,1776621000006101,1776621000006117,40
495552014,L413,L413.00,Antenatal deep vein thrombosis,49956009,495552014,32
2162422011,G801D,G801D00,Deep vein thrombosis of lower limb,404223003,2162422011,32
12125851000006113,^ESCT1212585,,Acute deep vein thrombosis of left lower limb following procedure,15711401000119105,3646309017,31
3308951000006115,^ESCTAN330895,,Antepartum deep vein thrombosis,49956009,83208016,32
2488381000000116,G801J,G801J00,Provoked deep vein thrombosis,978441000000108,2488381000000116,32
2144741000000111,G801G,G801G00,Recurrent deep vein thrombosis,710167004,3043650017,32
307749015,L4142,L414200,Postnatal deep vein thrombosis with postnatal complication,200238005,307749015,32
7291401000006118,^ESCTBI729140,,Bilateral deep vein thrombosis of lower extremities,444325005,3424070012,31
8087351000006117,^ESCTBI808735,,Bilateral acute deep vein thrombosis of femoral veins,285381000119104,3424068015,31
2784341000006116,^ESCTDE278434,,Deep vein thrombosis of portal vein,17920008,1221612011,32
1119161000000115,G801F,G801F00,Deep vein thrombosis of peroneal vein,443210003,1664901000000117,32
2488341000000112,G801H,G801H00,Unprovoked deep vein thrombosis,978421000000101,2488341000000112,32
2247661000000111,8CMWA,8CMWA00,On deep vein thrombosis care pathway,869611000000104,2247661000000111,32
307741017,L4132,L413200,Antenatal deep vein thrombosis with antenatal complication,200233001,307741017,32
8087371000006110,^ESCTAC808737,,Acute deep vein thrombosis of bilateral femoral veins,285381000119104,3373296013,31
12107691000006119,^ESCT1210769,,Acute deep vein thrombosis of left iliac vein,293491000119107,3644949016,31
497563011,L414,L414.00,Postnatal deep vein thrombosis,56272000,497563011,32
307815016,L43,L43..00,Obstetric pulmonary embolism,200284000,307815016,32
307834016,L4321,L432100,Obstetric blood-clot pulmonary embolism - delivered,200301007,307834016,32
307848016,L4331,L433100,Obstetric pyaemic and septic pulmonary embolism - delivered,200308001,307848016,32
632111000000118,G4011,G401100,Recurrent pulmonary embolism,438773007,2793990014,32
307820016,L4300,L430000,Obstetric air pulmonary embolism unspecified,200286003,307819010,32
307826010,L4310,L431000,Amniotic fluid pulmonary embolism unspecified,17263003,29186013,32
307838018,L432z,L432z00,Obstetric blood-clot pulmonary embolism NOS,200299000,307832017,32
307862011,L43y1,L43y100,Other obstetric pulmonary embolism - delivered,200284000,307815016,32
307867017,L43zz,L43zz00,Obstetric pulmonary embolism NOS,200284000,307815016,32
307869019,L43z1,L43z100,Obstetric pulmonary embolism NOS - delivered,200284000,307815016,32
307871019,L43z3,L43z300,Obstetric pulmonary embolism NOS with antenatal complication,200284000,307815016,32
24951000006110,L43y2,L43y200,Other obstetric pulmonary embolism - delivered + p/n comp,200284000,307815016,32
24981000006119,L43y3,L43y300,Other obstetric pulmonary embolism with antenatal comp,200284000,307815016,32
4802531000006118,^ESCTOB480253,,Obstetric pyemic and septic pulmonary embolism with antenatal complication,200310004,307853014,32
4802491000006118,^ESCTOB480249,,Obstetric pyemic and septic pulmonary embolism - delivered,200308001,307849012,32
7498901000006118,^ESCTIN749890,,Induced termination of pregnancy complicated by pulmonary embolism,609480009,2966889016,32
4802361000006115,^ESCTOB480236,,Obstetric air pulmonary embolism with antenatal complication,200290001,307823019,32
3462921000006119,^ESCTPE346292,,PE - Pulmonary embolism,59282003,1231937012,32
2773861000006116,^ESCTAM277386,,Amniotic fluid pulmonary embolism,17263003,478094014,32
4802511000006112,^ESCTOB480251,,Obstetric pyemic and septic pulmonary embolism - delivered with postnatal complication,200309009,307850012,32
4802371000006110,^ESCTOB480237,,Obstetric air pulmonary embolism with postnatal complication,200291002,307824013,32
7498911000006115,^ESCTTE749891,,Termination of pregnancy complicated by pulmonary embolism,609480009,2966835018,32
12368991000006118,^ESCT1236899,,Pulmonary embolism due to and following acute myocardial infarction,723859005,3673520015,31
7254611000006113,^ESCTIN725461,,Infarction of lung due to iatrogenic pulmonary embolism,441746000,2817583016,31
3402691000006113,^ESCTIL340269,,Illegal abortion with pulmonary embolism,55589000,92406012,31
3836031000006117,^ESCTSP383603,,Spontaneous abortion with pulmonary embolism,82153002,136268014,31
7699481000006113,^ESCTPU769948,,Pulmonary embolism on long-term anticoagulation therapy,713078005,3288022019,31
2534981000006118,^ESCTOB253498,,Obstetrical pulmonary fat embolism,2261009,4905011,31
5057651000006111,^ESCTSU505765,,Subacute massive pulmonary embolism,233937007,350504012,31
3444091000006115,^ESCTFA344409,,Failed attempted termination of pregnancy with pulmonary embolism,58123006,2967230014,31
3328051000006113,^ESCTLE332805,,Legal abortion with pulmonary embolism,51096002,85137010,31
7254621000006117,^ESCTPU725462,,"Pulmonary embolism and infarction, iatrogenic",441746000,2923306010,31
7579161000006113,^ESCTPU757916,,Pulmonary oil microembolism,703636009,3009008012,31
2509061000006115,^ESCTPU250906,,Pulmonary embolism following molar AND/OR ectopic pregnancy,663008,2171017,31
5057601000006112,^ESCTPT505760,,PTE - Pulmonary thromboembolism,233935004,350498016,31
7617191000006113,^ESCTCH761719,,Chronic pulmonary thromboembolism without pulmonary hypertension,707413005,3030022015,31
3328041000006111,^ESCTLE332804,,Legal termination of pregnancy with pulmonary embolism,51096002,2967307018,31
