MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
253677014,22A,22A..00,Body weight,27113001,45352010,2
253688015,22AZ,22AZ.00,O/E - weight NOS,27113001,45352010,2
2536041016,1621-1,1621.11,Weight static,271398006,2536041016,27
3514400010,^ESCT1165415,,Current body weight,735395000,3514400010,31
1910901000006116,EMISNQES10,,Estimated weight,1910901000006100,1910901000006116,2
1910911000006118,EMISNQRE469,,Reported weight,1910911000006102,1910911000006118,2
2934311000006118,^ESCTWE293431,,Weight,27113001,598581000000118,2
3484791000006113,^ESCTWE348479,,Weight: body mass,60621009,2164080013,2
3976301000006116,^ESCTHE397630,,Heavy (weight),90845004,150547014,31
4551811000006113,^ESCTON455181,,On examination - weight,162763007,2667035013,27
4986041000006113,^ESCTKC498604,,kcal/kg body weight,228910000,343127016,31
4986261000006116,^ESCTGK498626,,g/kg body weight,228919004,343145016,31
5533851000006117,^ESCTWE553385,,Weights,272102008,407156019,31
6251171000006114,^ESCTUS625117,,Usual body weight,363809009,486933017,31
7309791000006112,^ESCTDR730979,,Dry body weight,445541000,2871038018,2
7309801000006113,^ESCTDR730980,,Dry weight,445541000,2871039014,2
7879461000006116,^ESCTWE787946,,Weight,726527001,3450321013,31
7879471000006111,^ESCTWE787947,,Weight (property),726527001,3450322018,31
11905011000006114,^ESCT1190501,,O/E - weight,162763007,253677014,27
13638231000006115,^ESCT1363823,,Self reported body weight,784399000,3768525013,2
15124981000006111,^ESCT1512498,,Patient weight,55491000237100,106821000237113,2
